_id,image,brand,name,price,powerSupplyStandard,maxMotherboardSize,type,sidePanelWindow
608dd450905ec60bdc069867,/images/case/2a12e26b0d40f8f192731719744b40e6.256p.jpg,Cooler Master,Elite 110,383.52,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069868,/images/case/f23d251fb57394eedf211f122d84e934.256p.jpg,Cooler Master,Elite 130,317.09,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069869,/images/case/31NUzsYkeiL.jpg,Fractal Design,Node 304,409.00,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069870,/images/case/51tW%2B9UdanL.jpg,Lian Li,PC-Q08,404.50,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069871,/images/case/41TeYuoVuQL.jpg,Lian Li,PC-Q21,565.57,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069872,/images/case/367be05aef18111cd06b583fc2791bf8.256p.jpg,Lian Li,PC-Q30,455.73,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069873,/images/case/no-image.png,Lian Li,PC-Q36W,1025.57,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069874,/images/case/782897506350a2770440ce97833ec278.256p.jpg,Lian Li,PC-Q37,1164.30,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069875,/images/case/a0e20e35ff970070cfce9521b91a7e8b.256p.jpg,NZXT,H200i,1179.22,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069876,/images/case/69bf3205b1804a5dd7c0f83668701455.256p.jpg,NZXT,H210,399.49,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069877,/images/case/ba3d60ecf21a78b7ac0a454ddba1a800.256p.jpg,NZXT,H210i,513.70,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069878,/images/case/31eh4q1zh%2BL.jpg,Phanteks,Enthoo EVOLV ITX,376.42,ATX,Mini ITX,Mini ITX Tower,Acrylic
608dd450905ec60bdc069879,/images/case/83c1a9cc24e7f2f804670772d5d966b4.256p.jpg,Phanteks,Enthoo EVOLV SHIFT,1281.42,ATX,Mini ITX,Mini ITX Tower,Tinted Tempered Glass
608dd450905ec60bdc069880,/images/case/876bebfce9eb67ee26a36c96da9540d0.256p.jpg,Phanteks,Enthoo EVOLV SHIFT X,793.02,ATX,Mini ITX,Mini ITX Tower,Tinted Tempered Glass
608dd450905ec60bdc069881,/images/case/36c07af143861b556df3e297914c711c.256p.jpg,Phanteks,Evolv Shift 2,527.25,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069882,/images/case/41A4g7eNmSL.jpg,Thermaltake,Core P1,588.82,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069883,/images/case/a7371493c0aec17548f709931cf322c0.256p.jpg,Thermaltake,The Tower 100,486.35,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069884,/images/case/c288525ed92a1315db421d4d6d82e7a4.256p.jpg,Cooler Master,MasterBox NR200,553.92,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069885,/images/case/c6dcbd6f46039f7196d18f2135a7c9ce.256p.jpg,Cooler Master,MasterBox NR200P,418.10,ATX,Mini ITX,Mini ITX Desktop,Tempered Glass
608dd450905ec60bdc069886,/images/case/886fe7bfff0e556c86d55cdbdd28f7ee.256p.jpg,Cooler Master,MasterCase H100,208.62,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069887,/images/case/66fe69a12efcd3b662b9e930a67a2fac.256p.jpg,Cooler Master,MasterCase H100 ARGB,271.00,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069888,/images/case/4b12e1f7058a7b16e715f1753251fe1c.256p.jpg,Fractal Design,Core 500,304.35,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069889,/images/case/234082e908429613e8f136add299adf6.256p.jpg,Fractal Design,Define Nano S,289.47,ATX,Mini ITX,Mini ITX Desktop,Acrylic
608dd450905ec60bdc069890,/images/case/60963229d18bcda90640982df46b122f.256p.jpg,Fractal Design,Era ITX,619.66,ATX,Mini ITX,Mini ITX Desktop,Tinted Tempered Glass
608dd450905ec60bdc069891,/images/case/31gVjtoSFNL.jpg,Lian Li,PC-Q09F,454.77,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069892,/images/case/a192d48fe56f83965f4cb085b9c94df6.256p.jpg,Lian Li,TU150,527.30,ATX,Mini ITX,Mini ITX Desktop,Tempered Glass
608dd450905ec60bdc069893,/images/case/e52e4ed394eaef5d2ccd90bceb55f512.256p.jpg,Phanteks,Enthoo EVOLV ITX TG,533.08,ATX,Mini ITX,Mini ITX Desktop,Tinted Tempered Glass
608dd450905ec60bdc069894,/images/case/3dfe59fc1cc8fb54032c0cd279a003ad.256p.jpg,Thermaltake,Core V1,203.84,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069895,/images/case/bf11a205d0eaa8242d9c1d3287d9dd8c.256p.jpg,Thermaltake,Suppressor F1,483.35,ATX,Mini ITX,Mini ITX Desktop,Acrylic
608dd450905ec60bdc069896,/images/case/d74f8747e8735ff22322143b5bb55dcf.256p.jpg,Cooler Master,MasterBox E300L,227.73,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069897,/images/case/a846f517618d84a8335e2f2f3c9b5639.256p.jpg,Cooler Master,MasterBox Lite 3,215.62,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069898,/images/case/9d521f573c8908b82c8b8c7a5aa81a30.256p.jpg,Cooler Master,MasterBox MB400L,311.99,ATX,MircoATX,MicroATX Mini Tower,Tempered Glass
608dd450905ec60bdc069899,/images/case/ec48e16ee4d6629045cfc4d71c649746.256p.jpg,Cooler Master,MasterBox Q300L,208.80,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069900,/images/case/d5515cc352c490650ff658bd3608857f.256p.jpg,Cooler Master,MasterBox Q300P,378.47,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069901,/images/case/795052b65a53fec67bbee8e88c6d8975.256p.jpg,Cooler Master,MasterCase Pro 3,406.18,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069902,/images/case/21bTajFpn%2BL.jpg,Cooler Master,N200,252.71,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069903,/images/case/249320d2dc2da6536c0c3b1c3d7a7e98.256p.jpg,Cooler Master,Silencio S400,390.80,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069904,/images/case/41Nj4uE5DvL.jpg,Fractal Design,Core 1100,212.85,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069905,/images/case/f4251340d913aa4214fc6f6e0767839c.256p.jpg,Fractal Design,Focus G Mini,250.20,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069906,/images/case/a77c3dc3732a3bd8f2d559cf7c03fb82.256p.jpg,Fractal Design,Meshify C Mini,422.70,ATX,MircoATX,MicroATX Mini Tower,Tinted Tempered Glass
608dd450905ec60bdc069907,/images/case/51jEYwNBxcL.jpg,Lian Li,PC-V600F,793.66,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069908,/images/case/4384559686f011ed36faa23353657c45.256p.jpg,Phanteks,Enthoo EVOLV,540.09,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069909,/images/case/ed58584e95b2c97c727cff9083618ede.256p.jpg,Phanteks,Enthoo EVOLV TG,591.05,ATX,MircoATX,MicroATX Mini Tower,Tinted Tempered Glass
608dd450905ec60bdc069910,/images/case/51H6LgbjeJL.jpg,Thermaltake,ARMOR A30i,359.86,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069911,/images/case/61FQn-R6fCL.jpg,Thermaltake,Core V21,304.76,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069912,/images/case/df69be2cf748fac40148cd6bcb32df16.256p.jpg,Thermaltake,S100,274.14,ATX,MircoATX,MicroATX Mini Tower,Tempered Glass
608dd450905ec60bdc069913,/images/case/61648b636fa64af0a730d0195031465f.256p.jpg,Thermaltake,S100 Snow Edition,313.27,ATX,MircoATX,MicroATX Mini Tower,Tempered Glass
608dd450905ec60bdc069914,/images/case/5eb6a5eba2d14cd9b669395f26d50249.256p.jpg,Thermaltake,Versa H17,285.06,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069915,/images/case/51uyiFRvb0L.jpg,Thermaltake,Versa H18,467.01,ATX,MircoATX,MicroATX Mini Tower,Tempered Glass
608dd450905ec60bdc069916,/images/case/41Zwzc-t8BL.jpg,Cooler Master,MasterBox Lite 3.1,217.35,ATX,MircoATX,MicroATX Mid Tower,Acrylic
608dd450905ec60bdc069917,/images/case/d840392c61d0ca639f108e4ca53d5f6a.256p.jpg,Cooler Master,MasterBox MB311L ARGB,272.95,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069918,/images/case/c41828b1d2e94677cb77075afb0370f9.256p.jpg,Cooler Master,MasterBox MB320L ARGB,304.40,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069919,/images/case/57de46fcb7c2e44e868009fe030d60e6.256p.jpg,Cooler Master,MasterBox NR400 (w/o ODD),312.04,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069920,/images/case/a7bd7d10acb760185edc71759c9b55bf.256p.jpg,Cooler Master,MasterBox NR400 (w/ODD),271.50,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069921,/images/case/bc01477cbfd1cbaeebcff63368ab6705.256p.jpg,Corsair,350D,396.26,ATX,MircoATX,MicroATX Mid Tower,None
608dd450905ec60bdc069922,/images/case/41A7J01Y5BL.jpg,Corsair,Crystal 280X,543.63,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069923,/images/case/b8b333efacd7d6445dd8833a8dc551fd.256p.jpg,Corsair,Crystal 280X RGB,725.32,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069924,/images/case/41eJmj4-WEL.jpg,Fractal Design,Core 1000 USB 3.0,268.81,ATX,MircoATX,MicroATX Mid Tower,None
608dd450905ec60bdc069925,/images/case/ae123a856dfa937f94cfe464f3506cde.256p.jpg,Fractal Design,Define Mini C,363.55,ATX,MircoATX,MicroATX Mid Tower,None
608dd450905ec60bdc069926,/images/case/50cff7f7fa418b13cf7399ea7c60bf93.256p.jpg,Fractal Design,Define Mini C TG,440.85,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069927,/images/case/9886185e66d27730b7d04cc2f26c232e.256p.jpg,Fractal Design,Node 804,472.02,ATX,MircoATX,MicroATX Mid Tower,Acrylic
608dd450905ec60bdc069928,/images/case/47206951707be328cd4de3b8afc7008c.256p.jpg,Lian Li,LANCOOL 205M,254.30,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069929,/images/case/2b3b2198883d0a6ba85c5e0455d02ff4.256p.jpg,Thermaltake,V150,311.45,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069930,/images/case/da565cae23d9090507420bc7f11db02f.256p.jpg,Thermaltake,Versa H15,276.32,ATX,MircoATX,MicroATX Mid Tower,None
608dd450905ec60bdc069931,/images/case/2ec40a999717d2d4d17c5ff8751f189e.256p.jpg,Thermaltake,Level 20 VT,500.45,ATX,MircoATX,MicroATX Desktop,Tempered Glass
608dd450905ec60bdc069932,/images/case/fff3f3984b240187775dd6d0535e9e10.256p.jpg,Lian Li,PC-Q15,537.63,SFX,Mini ITX,HTPC,None
608dd450905ec60bdc069933,/images/case/803e00e1c94e03e1e22b09667eddb7dd.256p.jpg,be quiet!,Dark Base 700,741.60,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069934,/images/case/d91579c6e1759df7a7ebdffe77d9f5b3.256p.jpg,be quiet!,Pure Base 500,304.44,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069935,/images/case/d0088af61ff05d2f1e8ec07eeb4f7aee.256p.jpg,be quiet!,Pure Base 500DX,471.70,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069936,/images/case/6873a790dc8fe401cd695edb99d2a4cc.256p.jpg,be quiet!,Pure Base 600,370.32,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069937,/images/case/9aa6bed7fdcf78aed8f34e5976099ca5.256p.jpg,be quiet!,Silent Base 600,449.95,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069938,/images/case/e47cb114aaaaa4a3bbf4243d028515f6.256p.jpg,be quiet!,Silent Base 601,541.45,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069939,/images/case/733903cf860e2050544612a5ac7ac2b6.256p.jpg,be quiet!,Silent Base 801,677.95,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069940,/images/case/c6dd79bcdf0f7a1b6b73b267231f4e8e.256p.jpg,be quiet!,Silent Base 802,675.68,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069941,/images/case/eec3488e9f805c72e59b3851613a0843.256p.jpg,Cooler Master,CM 590 III,295.52,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069942,/images/case/no-image.png,Cooler Master,Force 500,246.02,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069943,/images/case/no-image.png,Cooler Master,K350,222.22,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069944,/images/case/41c8Sjjv3qL.jpg,Cooler Master,MasterBox 5,363.86,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069945,/images/case/51jQkVEg%2BlL.jpg,Cooler Master,MasterBox 5T,454.50,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069946,/images/case/9ad677e759d92054c992295df4663eaf.256p.jpg,Cooler Master,MasterBox E500 (w/o ODD),346.62,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069947,/images/case/0e9150c0a31bb008f7bbf43afa99dd7a.256p.jpg,Cooler Master,MasterBox E500L,201.66,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069948,/images/case/7ec81010fd1d70911c9d7b7c1875e3fe.256p.jpg,Cooler Master,MASTERBOX E501L,224.45,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069949,/images/case/41IUopbW%2B%2BL.jpg,Cooler Master,MasterBox K500,374.33,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069950,/images/case/abae9ce80fca1c81709d1e1c5b977fc5.256p.jpg,Cooler Master,MasterBox K500 ARGB,411.27,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069951,/images/case/17fa8a2537f9c8b4daed00429246ba26.256p.jpg,Cooler Master,MasterBox Lite 5,389.30,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069952,/images/case/e7008b6cfa779e5d7575248728a2ec0a.256p.jpg,Cooler Master,MasterBox LITE 5 ARGB,432.02,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069953,/images/case/41-c%2BGvOFML.jpg,Cooler Master,MasterBox Lite 5 RGB,329.47,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069954,/images/case/51u8UeXL1kL.jpg,Cooler Master,MasterBox MB500,360.50,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069955,/images/case/3ba287ad12b579548c5da4f7f4891dca.256p.jpg,Cooler Master,MasterBox MB500 ARGB,429.98,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069956,/images/case/31G8IcrMPSL.jpg,Cooler Master,MasterBox MB510L,258.76,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069957,/images/case/41gOhENP3SL.jpg,Cooler Master,MasterBox MB511,281.74,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069958,/images/case/794b75b9c9ee1db821a1c2c4643920a1.256p.jpg,Cooler Master,MasterBox MB511 ARGB,335.34,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069959,/images/case/9198c9ed4806d4898c2f4c49a68ac225.256p.jpg,Cooler Master,MasterBox MB511 RGB,335.34,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069960,/images/case/b7552309d1ff3adc4306048002a36a99.256p.jpg,Cooler Master,MasterBox MB520 ARGB,340.93,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069961,/images/case/f8eff50e4ca634033cce6fe2bfaa40f4.256p.jpg,Cooler Master,MasterBox MB520 RGB,340.93,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069962,/images/case/41ZoJCIaOOL.jpg,Cooler Master,MasterBox MB530P,527.48,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069963,/images/case/a6a5be8145c8949aa7289ed956ef7d44.256p.jpg,Cooler Master,MasterBox NR600 (w/o ODD),305.21,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069964,/images/case/4c5d0c50dcaf17572276e7facdc68c94.256p.jpg,Cooler Master,MasterBox NR600 (w/ODD),354.81,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069965,/images/case/4b396319699f80316473d0a5bc5ad2aa.256p.jpg,Cooler Master,MasterBox NR600P,661.75,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069966,/images/case/52bb1b255db58b40e254f62cd79e8a12.256p.jpg,Cooler Master,MasterBox Q500L,290.06,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069967,/images/case/67182e65c2d6b9d31605067eaac9717e.256p.jpg,Cooler Master,MasterBox TD500,494.08,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069968,/images/case/dace1696de22e925ae590011214e0655.256p.jpg,Cooler Master,MasterBox TD500 ARGB,451.41,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069969,/images/case/351a1f0a7e65a3513b198dbcdcacf1d8.256p.jpg,Cooler Master,MasterBox TD500 Mesh w/ Controller,451.45,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069970,/images/case/212cf1bdd68ed28c40799e5bc3548ad4.256p.jpg,Cooler Master,MasterBox TD500 Mesh White w/ Controller,484.44,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069971,/images/case/8058a5658a08dbd68ed2f88ab8e70df7.256p.jpg,Cooler Master,MasterCase H500,821.59,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc069972,/images/case/2a7afb950e91ae3dc3a39df7a65c50d2.256p.jpg,Cooler Master,MasterCase H500 ARGB,543.22,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069973,/images/case/3b22338d08cddc21f3cd6150ec431a31.256p.jpg,Cooler Master,MasterCase H500M,959.23,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069974,/images/case/82a76daea849e6d6610222837d271c51.256p.jpg,Cooler Master,MasterCase H500P Mesh,833.33,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069975,/images/case/f017338a0715df1b183bb0c33a9d5d5e.256p.jpg,Cooler Master,MasterCase H500P Mesh ARGB,693.97,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069976,/images/case/41yfvW1uzsL.jpg,Cooler Master,MasterCase Maker 5,1050.60,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069977,/images/case/daf55850f9adfe2502278113643b00b9.256p.jpg,Cooler Master,MasterCase MC500,1044.13,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069978,/images/case/5e6f11aa93f87cae4277948d0bb773df.256p.jpg,Cooler Master,MasterCase SL600M,1022.48,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069979,/images/case/f60a5af4538f4a7cb764c5623da8a10a.256p.jpg,Cooler Master,MasterCase SL600M Black Edition,820.77,ATX,ATX,ATX Mid Tower,Tempered Glass
